,TARA_056_MES_0.22-3,TARA_056_SRF_0.22-3,TARA_057_SRF_0.22-3,TARA_058_DCM_0.22-3,TARA_062_SRF_0.22-3,TARA_064_DCM_0.22-3,TARA_064_MES_0.22-3,TARA_064_SRF_0.22-3,TARA_065_DCM_0.22-3,TARA_065_MES_0.22-3,TARA_065_SRF_0.22-3,TARA_066_DCM_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_DCM_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_DCM_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_DCM_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_DCM_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_DCM_0.22-3,TARA_082_SRF_0.22-3,TARA_084_SRF_0.22-3,TARA_085_DCM_0.22-3,TARA_085_MES_0.22-3,TARA_085_SRF_0.22-3,TARA_093_DCM_0.22-3,TARA_093_SRF_0.22-3,TARA_094_SRF_0.22-3,TARA_096_SRF_0.22-3,TARA_098_DCM_0.22-3,TARA_098_MES_0.22-3,TARA_098_SRF_0.22-3,TARA_099_SRF_0.22-3,TARA_100_DCM_0.22-3,TARA_100_MES_0.22-3,TARA_100_SRF_0.22-3,TARA_102_DCM_0.22-3,TARA_102_MES_0.22-3,TARA_102_SRF_0.22-3,TARA_109_DCM_0.22-3,TARA_109_MES_0.22-3,TARA_109_SRF_0.22-3,TARA_110_DCM_0.22-3,TARA_110_MES_0.22-3,TARA_110_SRF_0.22-3,TARA_111_DCM_0.22-3,TARA_111_MES_0.22-3,TARA_111_SRF_0.22-3,TARA_112_DCM_0.22-3,TARA_112_MES_0.22-3,TARA_112_SRF_0.22-3,TARA_122_DCM_0.22-3,TARA_122_MES_0.22-3,TARA_122_SRF_0.22-3,TARA_123_MIX_0.22-3,TARA_123_SRF_0.22-3,TARA_124_MIX_0.22-3,TARA_124_SRF_0.22-3,TARA_125_MIX_0.22-3,TARA_125_SRF_0.22-3,TARA_128_DCM_0.22-3,TARA_128_SRF_0.22-3,TARA_132_DCM_0.22-3,TARA_132_MES_0.22-3,TARA_132_SRF_0.22-3,TARA_133_DCM_0.22-3,TARA_133_MES_0.22-3,TARA_133_SRF_0.22-3,TARA_137_DCM_0.22-3,TARA_137_MES_0.22-3,TARA_137_SRF_0.22-3,TARA_138_DCM_0.22-3,TARA_138_MES_0.22-3,TARA_138_SRF_0.22-3,TARA_140_SRF_0.22-3,TARA_141_SRF_0.22-3,TARA_142_DCM_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_DCM_0.22-3,TARA_150_SRF_0.22-3,TARA_151_DCM_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_MIX_0.22-3,TARA_152_SRF_0.22-3
00362 Benzoate degradation [PATH:ko00362],0.0071162,0.0044672,0.0046816,0.004736,0.0047877,0.0070808,0.0082823,0.0047793,0.0067703,0.0081693,0.0058367,0.0063419,0.0062409,0.0072969,0.0052083,0.0083263,0.0050757,0.0097834,0.0068568,0.0060496,0.005996,0.0046772,0.007642,0.0092102,0.0054129,0.0066234,0.0076897,0.0048959,0.0075938,0.0077236,0.0078177,0.0069557,0.0088447,0.0064525,0.0063443,0.0053601,0.0055224,0.0054918,0.005229,0.0081379,0.0053294,0.0050835,0.0061114,0.0091099,0.0055837,0.0057099,0.0076063,0.0055603,0.0055652,0.0084019,0.0054234,0.0063663,0.0074625,0.0057032,0.0054689,0.0082502,0.0056534,0.005226,0.0084231,0.0047419,0.0064423,0.0078882,0.0055461,0.0073048,0.0067836,0.0074732,0.0057456,0.0082405,0.0058127,0.0062064,0.0057156,0.0065435,0.0086484,0.0047124,0.0060493,0.0081518,0.0056698,0.0092271,0.0097377,0.0051682,0.0064723,0.010114,0.0046737,0.0050749,0.0056526,0.006166,0.0082115,0.0059421,0.0085483,0.0073403,0.0085951,0.0063877,0.0062071,0.0082344,0.0080564,0.0064327,0.0056195,0.0053283,0.0068491,0.0058821,0.0081743,0.0063444,0.0062397
00363 Bisphenol degradation [PATH:ko00363],2.79E-05,1.19E-05,1.37E-05,1.52E-05,1.22E-05,2.98E-05,2.19E-05,1.61E-05,2.48E-05,2.29E-05,2.27E-05,4.42E-05,4.45E-05,6.16E-05,1.70E-05,2.50E-05,1.76E-05,1.80E-05,3.13E-05,2.93E-05,1.69E-05,1.50E-05,3.79E-05,2.96E-05,1.95E-05,3.17E-05,2.35E-05,1.52E-05,6.21E-05,5.13E-05,1.78E-05,3.81E-05,2.32E-05,3.39E-05,3.79E-05,2.45E-05,1.25E-05,8.00E-06,2.74E-05,2.36E-05,6.16E-06,1.17E-05,2.27E-05,1.46E-05,9.48E-06,2.23E-05,2.61E-05,8.54E-06,1.41E-05,2.55E-05,1.16E-05,2.26E-05,1.97E-05,1.93E-05,2.32E-05,2.55E-05,1.72E-05,2.48E-05,2.39E-05,1.30E-05,2.73E-05,2.19E-05,1.20E-05,4.02E-05,3.94E-05,4.68E-05,2.33E-05,4.18E-05,1.74E-05,2.01E-05,1.50E-05,2.66E-05,2.67E-05,7.87E-06,3.91E-05,2.52E-05,2.34E-05,9.16E-06,1.59E-05,9.92E-06,2.72E-05,1.54E-05,1.12E-05,1.84E-05,2.24E-05,2.49E-05,2.99E-05,2.54E-05,2.52E-05,4.73E-05,2.68E-05,2.65E-05,2.89E-05,1.95E-05,2.39E-05,2.91E-05,2.76E-05,2.04E-05,3.75E-05,2.15E-05,1.93E-05,2.93E-05,2.79E-05
00364 Fluorobenzoate degradation [PATH:ko00364],0.00050313,0.00032661,0.00035541,0.00032253,0.00029688,0.00049012,0.00067365,0.00025883,0.00038251,0.00056808,0.00026736,0.00018716,0.00018327,0.00031325,0.00026424,0.00061891,0.00028357,0.00073395,0.00038604,0.00027724,0.00045036,0.00034071,0.00069743,0.00083691,0.00039857,0.00049691,0.00065624,0.00031232,0.000218,0.00026099,0.00024873,0.00017004,0.00065958,0.00010053,0.0004659,0.00026191,0.0002597,0.00023742,0.0002595,0.00066117,0.00025503,0.00028179,0.00028651,0.00039478,0.00020408,0.00020841,0.0004234,0.00020892,0.00021033,0.00055184,0.00023576,0.00019491,0.00032165,0.00020403,0.00024117,0.00049322,0.00020249,0.00026866,0.00075589,0.0002465,0.00048308,0.00051659,0.00016622,0.00063931,0.00039056,0.00069324,0.00032757,0.00076169,0.00020519,0.00022596,0.00018552,0.00021915,0.00067683,0.00033997,0.00025903,0.00053094,0.00027743,0.00044445,0.00047472,0.00017987,0.00019399,0.00056433,0.00027728,0.00031584,0.00056234,0.00034828,0.00058102,0.00033598,0.00067529,0.00039987,0.00066199,0.00033387,0.00034142,0.00055199,0.00058513,0.00024119,0.00020715,0.00018573,0.00032067,0.00017541,0.00057923,0.00022034,0.00020263
00365 Furfural degradation [PATH:ko00365],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00380 Tryptophan metabolism [PATH:ko00380],0.0087355,0.0077699,0.0079116,0.0077803,0.0079378,0.0099678,0.0098639,0.0078229,0.0096619,0.0098375,0.0087492,0.0095258,0.009481,0.011081,0.0078815,0.010171,0.0078066,0.010365,0.0097192,0.0091409,0.0084314,0.0076907,0.009381,0.009955,0.0087397,0.008803,0.0091659,0.0080381,0.011608,0.011946,0.011905,0.010234,0.010601,0.009945,0.0108,0.0093423,0.0099808,0.0093745,0.008111,0.0097377,0.0090739,0.0087785,0.0094088,0.0091715,0.0099907,0.0095961,0.0090358,0.0096646,0.0096457,0.0099938,0.0093112,0.009958,0.0092351,0.0097992,0.0089265,0.0097467,0.0098162,0.0081442,0.010173,0.0083309,0.0091077,0.010057,0.0095699,0.0087862,0.01021,0.0097662,0.0094563,0.0094665,0.0098862,0.0097341,0.0095082,0.0088757,0.01032,0.0082693,0.0095261,0.010032,0.009442,0.0080528,0.0084324,0.0090153,0.0094334,0.0088188,0.008343,0.0082849,0.0085736,0.0089171,0.010177,0.0087633,0.01023,0.0097126,0.010411,0.0088453,0.0090338,0.0099249,0.0099407,0.0092795,0.0086936,0.0085825,0.0097028,0.0092474,0.010196,0.0094215,0.0095982
"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]",0.017378,0.018339,0.018304,0.017873,0.018227,0.015568,0.016574,0.01824,0.017642,0.016674,0.018162,0.018381,0.018641,0.016574,0.018014,0.016745,0.017929,0.016016,0.016746,0.017345,0.016778,0.017217,0.01584,0.016532,0.017602,0.017887,0.017222,0.018123,0.017084,0.016648,0.016473,0.01721,0.016115,0.017734,0.017378,0.019009,0.018143,0.019129,0.018333,0.016586,0.019004,0.019087,0.017385,0.016028,0.018074,0.016892,0.017311,0.017407,0.017283,0.016277,0.017812,0.016425,0.017079,0.01769,0.017679,0.016414,0.017715,0.017979,0.016296,0.018493,0.016956,0.016721,0.017397,0.017379,0.016761,0.017506,0.017381,0.016833,0.017731,0.017394,0.017711,0.015855,0.016326,0.018412,0.016318,0.016601,0.017998,0.015514,0.014731,0.017427,0.016337,0.014584,0.017837,0.018019,0.018393,0.018051,0.016328,0.017943,0.016521,0.017444,0.01633,0.018136,0.018047,0.016843,0.016717,0.017683,0.017398,0.017903,0.017471,0.017396,0.016715,0.017754,0.017541
00410 beta-Alanine metabolism [PATH:ko00410],0.0077746,0.0075991,0.0076858,0.0077806,0.0076851,0.0086336,0.0085788,0.0075928,0.0086819,0.0085773,0.0083009,0.0090476,0.0089688,0.0096268,0.0076572,0.0091701,0.0075991,0.008857,0.0084772,0.0084077,0.007838,0.0075063,0.0079681,0.0088255,0.0081978,0.0082426,0.0085253,0.0081402,0.010422,0.010266,0.011265,0.010587,0.0096615,0.011341,0.0092789,0.0088828,0.0091458,0.0089897,0.0076911,0.0085604,0.0087038,0.0083468,0.0084441,0.0083281,0.0084612,0.0087795,0.0080921,0.0088496,0.0087491,0.0085219,0.008527,0.0086375,0.0081623,0.0088542,0.0082268,0.0083321,0.008623,0.0074633,0.0083501,0.0078613,0.0081552,0.0086482,0.0083383,0.0083382,0.0086562,0.008688,0.0083462,0.0083493,0.0087016,0.0084614,0.0081312,0.0078115,0.0089717,0.0078969,0.0089306,0.0090628,0.0090233,0.0076783,0.0077682,0.0085334,0.0085815,0.0083469,0.007897,0.0079631,0.0079427,0.0079871,0.0086905,0.0080438,0.0089084,0.0090995,0.0089374,0.0081851,0.0083479,0.0082672,0.0087234,0.0084982,0.0083111,0.0083091,0.0090187,0.008681,0.0087158,0.0087667,0.0088411
00430 Taurine and hypotaurine metabolism [PATH:ko00430],0.0034766,0.003113,0.003373,0.0033318,0.0033384,0.0041906,0.0041525,0.0033285,0.004337,0.0040988,0.004125,0.0042206,0.004117,0.0041778,0.00353,0.0044586,0.0035974,0.0045319,0.003795,0.0040894,0.003526,0.0031192,0.0042155,0.0041998,0.0035982,0.0040919,0.0040794,0.0034853,0.0036098,0.0036035,0.0034692,0.0033131,0.0048795,0.0035139,0.0044663,0.004026,0.0040716,0.0042467,0.0034832,0.0042643,0.0039614,0.0036392,0.0040625,0.0037838,0.0037906,0.0036753,0.0036374,0.0038025,0.0037213,0.0042187,0.0037224,0.0037776,0.0037015,0.0039018,0.0038145,0.0040649,0.0039519,0.003277,0.0041358,0.0032715,0.004361,0.003958,0.0036666,0.004469,0.0039756,0.0049105,0.0040206,0.0049727,0.0040529,0.003729,0.003537,0.0035662,0.0044646,0.0033224,0.0039418,0.0039926,0.0038957,0.0036852,0.0037184,0.0036941,0.0035804,0.0037659,0.0031429,0.0036523,0.0040783,0.0037104,0.00408,0.0037153,0.0043466,0.0042923,0.0043206,0.0041051,0.0040938,0.0044112,0.0041754,0.0040848,0.0038622,0.003836,0.0042231,0.003855,0.004246,0.0040562,0.0040571
00440 Phosphonate and phosphinate metabolism [PATH:ko00440],0.0012842,0.00075888,0.00077206,0.00078567,0.0008062,0.00062297,0.0012842,0.0007887,0.00089384,0.0012331,0.00099948,0.00095425,0.00097351,0.0008631,0.00086916,0.0011178,0.00089379,0.0012044,0.00075878,0.00097326,0.00094845,0.0007886,0.00084287,0.0013549,0.00077008,0.0010101,0.0012363,0.00078315,0.00089524,0.0008983,0.00097832,0.00086019,0.0016177,0.00090094,0.0010691,0.0010607,0.00093354,0.00090234,0.00095718,0.0012296,0.00084316,0.00079119,0.00090226,0.0011752,0.00096397,0.00083487,0.0010814,0.00084668,0.00083221,0.0010105,0.00082063,0.00079233,0.0010363,0.0008366,0.00087956,0.0011515,0.00092369,0.00085825,0.0013391,0.00079229,0.00099685,0.0011863,0.00079274,0.0012144,0.00094902,0.0010498,0.0008543,0.0011312,0.00091502,0.00083924,0.00082576,0.00084964,0.001144,0.00077012,0.00087769,0.001273,0.00086841,0.0014656,0.0015088,0.0007891,0.0007649,0.0014703,0.00070487,0.00072955,0.0018783,0.0012077,0.0012249,0.0011885,0.0012303,0.00096111,0.0011952,0.001361,0.0013706,0.0010439,0.0012249,0.0011534,0.0010097,0.00098785,0.0009792,0.00089118,0.0012389,0.0009609,0.00088761
00450 Selenocompound metabolism [PATH:ko00450],0.0088423,0.0083784,0.0080462,0.0080204,0.0079651,0.0081083,0.0093775,0.0084107,0.0079177,0.0092291,0.0076331,0.0076358,0.0076428,0.0075654,0.0080145,0.0092034,0.0079277,0.0083968,0.008031,0.0075083,0.0084701,0.0078297,0.0080657,0.0092923,0.0079262,0.0081943,0.0090191,0.008043,0.0071473,0.0072265,0.0065072,0.0073091,0.010022,0.0066252,0.0079405,0.0075484,0.0075578,0.0075517,0.008362,0.0094207,0.0078628,0.0082233,0.0075128,0.0092409,0.0082243,0.0075965,0.0091083,0.0076778,0.0080623,0.0090078,0.008184,0.0078043,0.0087226,0.0079422,0.0079254,0.0094259,0.0082199,0.0087402,0.0095672,0.0084944,0.0078151,0.0091961,0.008382,0.0086424,0.0076125,0.0083546,0.0081998,0.0085568,0.0079059,0.0082576,0.0085334,0.0079919,0.0091086,0.0084078,0.0073631,0.0094528,0.0074876,0.0087876,0.009234,0.0082082,0.0077397,0.0090172,0.0084184,0.0077445,0.0075799,0.0082143,0.0091732,0.008114,0.0096383,0.0080838,0.0093682,0.0079496,0.0078223,0.0091711,0.0091652,0.0078165,0.0075358,0.0076172,0.007878,0.0073483,0.009146,0.00792,0.0079547
00460 Cyanoamino acid metabolism [PATH:ko00460],0.0036378,0.003225,0.0034438,0.0031337,0.0032126,0.0038135,0.0037157,0.0033414,0.0035556,0.0036954,0.0032918,0.0034031,0.0033064,0.0040019,0.0031429,0.0036389,0.0031206,0.0041676,0.0034539,0.0031447,0.0035734,0.0032323,0.0037915,0.0037405,0.0036008,0.0032056,0.0033153,0.0032752,0.0037298,0.0039459,0.0042171,0.0032576,0.0041145,0.0032341,0.0038635,0.0032174,0.0033147,0.0039084,0.0030849,0.0037595,0.0038551,0.0038464,0.0032786,0.0035935,0.0037569,0.0032002,0.0032336,0.0035108,0.0036036,0.0036018,0.0037235,0.0035955,0.0033849,0.0035782,0.0031024,0.0035764,0.003411,0.003301,0.0040658,0.0035422,0.0033532,0.0037583,0.0034742,0.0033842,0.0034656,0.0035294,0.0036725,0.0036855,0.0032971,0.0036907,0.0036732,0.0032965,0.0038763,0.0037542,0.0035436,0.0036931,0.0034697,0.0033862,0.0039881,0.0035052,0.0030366,0.0039624,0.0033994,0.0036406,0.0038716,0.0035328,0.0039568,0.0034489,0.0038986,0.0034567,0.0038657,0.003167,0.0033063,0.0040817,0.0036274,0.0033814,0.0033406,0.003213,0.0033359,0.0033403,0.0037157,0.0034259,0.0034843
00471 D-Glutamine and D-glutamate metabolism [PATH:ko00471],0.0026022,0.0024236,0.0024416,0.0023858,0.0024051,0.0016549,0.0021,0.0024529,0.0021538,0.0021343,0.0022945,0.0023988,0.0025019,0.0025618,0.0025258,0.0020687,0.0025219,0.0021889,0.0021141,0.0022991,0.0023289,0.0023754,0.002017,0.0020816,0.002442,0.002317,0.0022243,0.0026394,0.0027355,0.002749,0.0029194,0.0027236,0.0019812,0.0027455,0.0025283,0.0026023,0.0024857,0.0025992,0.0025121,0.0020893,0.0026495,0.0027476,0.002402,0.0022945,0.0026435,0.0024318,0.0023109,0.0024502,0.0025391,0.0021185,0.0025789,0.0022201,0.0022526,0.0024665,0.0023839,0.0020654,0.002502,0.0025932,0.0021858,0.0026432,0.0020866,0.0023167,0.0024398,0.0021105,0.0022844,0.0022078,0.002419,0.0019424,0.0023851,0.0025449,0.0026791,0.0022152,0.0020947,0.002594,0.0022389,0.0021394,0.0024117,0.0024,0.002456,0.0024335,0.0020928,0.0024959,0.0024367,0.0025307,0.0025947,0.0024563,0.0022303,0.0024466,0.0020746,0.0021723,0.0020895,0.0022934,0.0023226,0.0020351,0.0021539,0.0023048,0.0023322,0.0024088,0.0022357,0.0022988,0.002127,0.002413,0.0023312
00472 D-Arginine and D-ornithine metabolism [PATH:ko00472],0.0003269,0.00047088,0.00047071,0.00045038,0.00040951,0.00036359,0.00020863,0.00045134,0.00030647,0.00022391,0.00032817,0.00037887,0.00036671,0.00044762,0.00039535,0.00020887,0.00034807,0.0002891,0.00042168,0.00028386,0.00039843,0.00047868,0.0003309,0.00021234,0.00050209,0.00035493,0.00021323,0.00043972,0.00042263,0.00043101,0.00047912,0.00040734,0.00018738,0.00037339,0.00029505,0.00030731,0.00041116,0.00050757,0.00035744,0.00023655,0.00050413,0.00052696,0.0004107,0.00022361,0.00043308,0.00035361,0.00027224,0.00038127,0.00042742,0.00028554,0.00041357,0.00039466,0.00030168,0.00040542,0.00039982,0.00025298,0.00042158,0.00038692,0.0001959,0.00042565,0.00034321,0.00027078,0.0003878,0.00024123,0.00027893,0.00031748,0.0003732,0.00024063,0.00033539,0.00039764,0.00041185,0.00034702,0.00024896,0.00051724,0.00038567,0.00021941,0.00046439,0.00020464,0.00026601,0.00036987,0.00025474,0.00026188,0.0004562,0.00041891,0.00035696,0.00037961,0.00024899,0.00034574,0.00022491,0.00036225,0.00020302,0.00026176,0.00029599,0.0002748,0.00020249,0.00029951,0.00031274,0.00030133,0.00028678,0.00029821,0.00020472,0.00034157,0.00033379
00473 D-Alanine metabolism [PATH:ko00473],0.0014362,0.0016673,0.0016797,0.0016098,0.0016116,0.0012295,0.0012295,0.0016194,0.001415,0.0012453,0.0015028,0.0015753,0.0016079,0.0018417,0.001562,0.0013004,0.0015491,0.0014246,0.0014922,0.0014629,0.0015226,0.0015622,0.0013303,0.0012118,0.0016742,0.0014454,0.00127,0.0016915,0.0019823,0.0019948,0.0020622,0.0020452,0.0013334,0.0019532,0.0017189,0.0017,0.0017413,0.0019905,0.0015944,0.0012182,0.0019087,0.0019296,0.001623,0.0015439,0.001888,0.0016433,0.0013748,0.0017532,0.0018106,0.0015027,0.0018778,0.0015706,0.0015245,0.0017612,0.0015605,0.0013602,0.0017478,0.0016612,0.0011908,0.0016939,0.0014611,0.0014034,0.0016938,0.0012656,0.0015623,0.0014409,0.0017387,0.0012137,0.001625,0.0017511,0.001817,0.0014302,0.001362,0.0018186,0.00159,0.0012491,0.001812,0.0015799,0.0015059,0.0017236,0.0013178,0.0014988,0.0016811,0.0018273,0.0018536,0.0015825,0.0013038,0.0015697,0.0012496,0.0015241,0.0012207,0.001361,0.0014766,0.0011314,0.0012326,0.001414,0.0015249,0.0015334,0.0014239,0.0015231,0.0012808,0.0015725,0.0015674
00480 Glutathione metabolism [PATH:ko00480],0.0092788,0.011158,0.011039,0.010561,0.010567,0.010632,0.0084559,0.011001,0.010118,0.0084622,0.010514,0.0099437,0.0099905,0.011843,0.010455,0.0086792,0.010473,0.010158,0.010286,0.0091394,0.010111,0.010747,0.0099413,0.0087558,0.01137,0.0099803,0.0086836,0.011454,0.010283,0.010374,0.010554,0.0094387,0.0089187,0.0093124,0.010901,0.01072,0.01043,0.010899,0.0098131,0.0084471,0.011044,0.011202,0.0097535,0.0081239,0.010732,0.010097,0.0078246,0.010344,0.010494,0.0084777,0.010973,0.0095504,0.0085193,0.010383,0.0096318,0.008075,0.010437,0.010151,0.0087466,0.010965,0.0099112,0.0088922,0.010424,0.0086447,0.010064,0.0096328,0.010944,0.0085025,0.0099959,0.010371,0.010574,0.0086518,0.0089829,0.011619,0.010203,0.0082147,0.010511,0.0079439,0.0080102,0.010373,0.0085001,0.0084064,0.010911,0.01203,0.011589,0.0098555,0.0088389,0.0098376,0.0084652,0.0099546,0.0084423,0.0092524,0.0095175,0.0082399,0.0083075,0.0093695,0.0095966,0.0097515,0.0092846,0.0095713,0.0086243,0.0098306,0.010003
00500 Starch and sucrose metabolism [PATH:ko00500],0.0089014,0.0093042,0.0091339,0.0087185,0.0087361,0.0080116,0.0062757,0.0090147,0.0072037,0.0063478,0.0069783,0.0061771,0.0062715,0.0064883,0.0084011,0.0055832,0.0082114,0.0078827,0.0082368,0.0068335,0.0085821,0.0089228,0.008793,0.006447,0.0091033,0.0072765,0.0060071,0.0088704,0.0061291,0.0061516,0.0065429,0.0065123,0.0065156,0.006673,0.0073617,0.0072436,0.0071577,0.0075445,0.0083676,0.0057431,0.008141,0.0090334,0.0074289,0.0065618,0.0077312,0.0066566,0.0058253,0.0070152,0.0074964,0.0061745,0.0080144,0.0072219,0.006527,0.0073892,0.0073773,0.0057985,0.0074444,0.0089375,0.0071186,0.0092638,0.007537,0.0069193,0.008135,0.0058536,0.0074154,0.0062918,0.0081682,0.005898,0.0073373,0.008445,0.0086416,0.0067412,0.006131,0.0094114,0.0065906,0.0061569,0.0073105,0.0066904,0.007465,0.0076944,0.0068484,0.007448,0.0093477,0.008441,0.0084531,0.0082358,0.0072397,0.0082288,0.006243,0.00602,0.0060292,0.0065496,0.0071381,0.0060136,0.0059365,0.0066286,0.0075311,0.007366,0.0064625,0.0071498,0.005935,0.0067271,0.0068241
00511 Other glycan degradation [PATH:ko00511],0.0011969,0.00043213,0.00052837,0.00048668,0.00053387,0.00065297,0.0011145,0.00050317,0.00075473,0.001109,0.00065926,0.00078021,0.0007787,0.001265,0.00055376,0.0010836,0.00053657,0.00097895,0.0005965,0.00057705,0.0006934,0.00049922,0.0011168,0.00092997,0.00051657,0.00052874,0.00072441,0.00039672,0.0012443,0.0014548,0.0012279,0.0011144,0.0017672,0.0012441,0.0012616,0.00088913,0.00056313,0.00046088,0.00048877,0.0010927,0.00049138,0.00055297,0.00055512,0.0013936,0.00086196,0.00074122,0.0012032,0.00085391,0.00070423,0.0013203,0.00074608,0.00089872,0.0011183,0.00079202,0.00054159,0.0013841,0.0006563,0.00059867,0.0013873,0.00054404,0.00058128,0.0011323,0.00066301,0.00057832,0.00093638,0.00063745,0.00064045,0.00064939,0.00057356,0.00080792,0.00087892,0.0010002,0.0011935,0.00049801,0.00088801,0.0013144,0.0007324,0.0010279,0.0012029,0.00066413,0.00071541,0.001188,0.00052854,0.0007387,0.00079975,0.00074826,0.0014217,0.0007009,0.0012535,0.00076496,0.0012325,0.00066243,0.00072868,0.00095053,0.0010972,0.00077388,0.00067829,0.00064467,0.00081762,0.00078119,0.0010725,0.000888,0.00088911
00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520],0.023809,0.02328,0.023101,0.024379,0.02404,0.01907,0.02099,0.022675,0.021079,0.021366,0.023047,0.020947,0.021512,0.020252,0.022815,0.020142,0.022739,0.021445,0.020565,0.024141,0.023912,0.026109,0.023891,0.021149,0.022406,0.022003,0.021731,0.023217,0.020262,0.019507,0.019701,0.021437,0.01959,0.0218,0.021243,0.02283,0.022207,0.02308,0.023895,0.020961,0.022592,0.023216,0.023479,0.021527,0.023523,0.024117,0.021757,0.022782,0.022829,0.020569,0.021904,0.023502,0.022369,0.022292,0.024167,0.021155,0.022917,0.023961,0.020421,0.022815,0.023824,0.021725,0.023402,0.022832,0.023729,0.022397,0.023136,0.022499,0.023641,0.022868,0.022959,0.024357,0.020714,0.022275,0.023718,0.020787,0.023055,0.024694,0.024124,0.022329,0.023277,0.023898,0.023367,0.023485,0.021836,0.022573,0.021338,0.022899,0.020124,0.019101,0.020397,0.02234,0.022132,0.020522,0.020999,0.021803,0.023772,0.022827,0.021433,0.023361,0.020684,0.021868,0.021229
00531 Glycosaminoglycan degradation [PATH:ko00531],0.001034,0.00072671,0.00078024,0.00082521,0.00078421,0.00082344,0.0010464,0.00074195,0.00091119,0.0010618,0.00094844,0.0010259,0.0010553,0.0012831,0.0009132,0.0011306,0.00089577,0.001075,0.0011733,0.00097503,0.00085418,0.0007335,0.0013163,0.00098411,0.00073758,0.0010226,0.00089469,0.0006871,0.0011747,0.001227,0.0010297,0.00093233,0.0014901,0.00086766,0.0012571,0.001083,0.00098906,0.00098817,0.00099805,0.0010509,0.00095459,0.00089634,0.00093692,0.0014347,0.00096177,0.00098491,0.0012188,0.00092059,0.00095396,0.0013108,0.00089446,0.00093996,0.0011036,0.0008841,0.0010265,0.0013566,0.00088529,0.00096916,0.0010451,0.00083022,0.00099606,0.0011352,0.00085238,0.00093414,0.0011331,0.0010504,0.00086498,0.0010037,0.00084422,0.00096429,0.0009598,0.0010094,0.0012082,0.0007836,0.0011287,0.001167,0.0012529,0.0011113,0.0010979,0.00077215,0.00084081,0.001072,0.00074836,0.00092666,0.0010143,0.00089016,0.001207,0.0008504,0.0011294,0.00093541,0.0011372,0.00093278,0.00093812,0.00095256,0.0010539,0.00092249,0.00090075,0.000896,0.001084,0.00089457,0.0010187,0.00097213,0.00091018
00540 Lipopolysaccharide biosynthesis [PATH:ko00540],0.0088103,0.0097284,0.0096332,0.0099223,0.010205,0.0078236,0.0092207,0.0096343,0.009893,0.0092533,0.010962,0.011154,0.011487,0.01113,0.0098359,0.009868,0.009923,0.010391,0.0092673,0.011678,0.009754,0.010349,0.0094549,0.0090809,0.0098239,0.009751,0.0090845,0.0098389,0.011205,0.011008,0.011383,0.012773,0.010565,0.012417,0.011237,0.0115,0.010982,0.011642,0.010641,0.009581,0.011064,0.010778,0.01114,0.012482,0.011164,0.011173,0.010562,0.010832,0.010331,0.011241,0.010116,0.010932,0.011189,0.010543,0.011104,0.010981,0.010691,0.01053,0.0087773,0.010084,0.011041,0.0095218,0.010421,0.010458,0.010477,0.0099492,0.01016,0.010133,0.010495,0.010314,0.010475,0.012661,0.01026,0.0097649,0.011468,0.0095206,0.011229,0.01282,0.012207,0.0099279,0.010862,0.01217,0.0094115,0.010546,0.010615,0.01024,0.0095691,0.010134,0.0093649,0.010057,0.0093893,0.010311,0.010383,0.0096081,0.0093515,0.010579,0.0106,0.010539,0.010256,0.010445,0.0096184,0.010822,0.010426
